id,time,replicate_1,replicate_2,replicate_3
droso_4840,29.6,2.386447,1.9924456,3.0676255
droso_4840,29.700000000000003,2.515097,2.0151248,2.903344
droso_4840,29.8,2.8564756,2.2036183,2.942755
droso_4840,29.900000000000002,2.7441976,2.2482958,2.4952962
droso_4840,30.0,2.362512,2.1403017,2.7794814
droso_4840,30.1,2.5969014,2.2235942,2.726546
droso_4840,30.200000000000003,2.8301365,2.2714436,2.9305904
droso_4840,30.3,2.5418856,2.7627523,2.415465
droso_4840,30.400000000000002,2.3686707,2.4334707,2.5971093
droso_4840,30.5,2.5517669,2.3946347,2.3134687
droso_4840,30.6,3.01009,2.3165667,2.559448
droso_4840,30.700000000000003,2.838402,2.4144356,2.2415054
droso_4840,30.8,2.7650485,2.5732875,2.162776
droso_4840,30.900000000000002,2.1333086,2.2125251,2.6808333
droso_4840,31.0,2.0993202,2.42426,2.6206253
droso_4840,31.1,2.5416934,2.486119,2.5052154
droso_4840,31.200000000000003,2.8188152,2.5330539,2.751907
droso_4840,31.3,3.1973033,2.2965095,2.6850407
droso_4840,31.400000000000002,2.7410443,2.6148937,2.9517894
droso_4840,31.5,3.1311915,2.1030529,3.311112
droso_4840,31.6,2.853887,2.101089,3.2824726
droso_4840,31.700000000000003,2.6155946,2.6797132,3.4686632
droso_4840,31.8,2.6817472,2.536433,3.4403763
droso_4840,31.900000000000002,2.5701115,2.40374,3.1870565
droso_4840,32.0,3.025027,2.8912616,3.0420644
droso_4840,32.1,3.1773696,2.733445,3.189925
droso_4840,32.2,3.366772,2.8448143,3.2530835
droso_4840,32.300000000000004,2.9958289,2.7802956,3.1088507
droso_4840,32.4,3.1317148,2.699196,2.990784
droso_4840,32.5,3.0966866,2.4977322,2.3316202
droso_4840,32.6,3.159643,2.5573423,2.3768482
droso_4840,32.7,2.897619,2.8546493,2.3321369
droso_4840,32.800000000000004,3.1110344,2.703994,2.4095883
droso_4840,32.9,2.8666162,2.60513,2.662687
droso_4840,33.0,3.1434488,2.733428,2.3546696
droso_4840,33.1,2.7752917,2.9418867,2.3391585
droso_4840,33.2,2.866007,3.0626967,2.8481238
droso_4840,33.300000000000004,2.7776904,2.9516482,2.895449
droso_4840,33.4,2.1444387,2.6247165,2.7374246
droso_4840,33.5,2.8528564,2.4666266,2.2983534
droso_4840,33.6,2.193167,2.48042,2.280505
droso_4840,33.7,2.7101297,2.3456748,2.1857843
droso_4840,33.800000000000004,2.6737878,2.134135,2.2429566
droso_4840,33.9,3.0360148,2.6853662,2.9611955
droso_4840,34.0,2.469396,2.4023325,2.9023404
droso_4840,34.1,2.7824554,2.9537864,2.4992032
droso_4840,34.2,2.6563268,2.5420542,2.4980001
droso_4840,34.300000000000004,2.5447264,2.4930933,2.6095355
droso_4840,34.4,2.6539547,2.5147264,2.8091712
droso_4840,34.5,2.9382284,2.6063128,2.7073932
droso_4840,34.6,3.2895994,2.2665608,2.5309505
droso_4840,34.7,2.8130033,2.5203488,2.8392851
droso_4840,34.800000000000004,2.559707,2.4268634,2.767627
droso_4840,34.9,2.9194343,2.4145298,3.1144521
droso_4840,35.0,2.968947,2.274802,3.31808
droso_4840,35.1,2.8459966,2.5902164,2.8974712
droso_4840,35.2,2.7898648,2.520583,2.7139688
droso_4840,35.300000000000004,2.5278678,2.5030189,2.9224913
droso_4840,35.4,2.7501996,2.3949442,2.935883
droso_4840,35.5,2.9959881,2.8247118,2.4478326
droso_4840,35.6,2.9086044,2.3195872,2.8615973
droso_4840,35.7,3.121901,2.4465332,3.0546486
droso_4840,35.800000000000004,2.6226132,2.8147118,2.7679532
droso_4840,35.9,2.8271341,3.4390085,2.8876398
droso_4840,36.0,2.9928617,3.8455334,3.0358562
droso_4840,36.1,2.4007115,3.3663766,2.8717492
droso_4840,36.2,2.5229545,3.0711362,2.717849
droso_4840,36.300000000000004,3.0736265,3.40692,3.3717299
droso_4840,36.4,2.975987,3.6611822,2.7031085
droso_4840,36.5,2.8245513,3.155716,2.711588
droso_4840,36.6,3.2806137,3.3793123,2.7501032
